"VariableID";"VariableName"
5434;"03 Berlin - Senat (pH-Wert):Teltow-Werft pH-Wert"
5435;"03 Berlin - Senat (pH-Wert):Teltowkanal pH-Wert"
5440;"04 Berlin - Senat (Leitfähigkeit):BSSK LF"
5441;"04 Berlin - Senat (Leitfähigkeit):Caprivibrücke LF"
5854;"04 Berlin - Senat (Leitfähigkeit):Charlottenburg LF"
5444;"04 Berlin - Senat (Leitfähigkeit):LWK LF"
5450;"04 Berlin - Senat (Leitfähigkeit):Mühlendammschleuse LF"
5457;"04 Berlin - Senat (Leitfähigkeit):NSK LF"
5453;"04 Berlin - Senat (Leitfähigkeit):Rahnsdorf LF"
5447;"04 Berlin - Senat (Leitfähigkeit):Schmöckwitz LF"
5460;"04 Berlin - Senat (Leitfähigkeit):Sophienwerder LF"
5464;"04 Berlin - Senat (Leitfähigkeit):Teltow-Werft LF"
5469;"04 Berlin - Senat (Leitfähigkeit):Teltowkanal LF"
5437;"05 Berlin - Senat (Temperatur):BSSK T"
5442;"05 Berlin - Senat (Temperatur):Caprivibrücke T"
5856;"05 Berlin - Senat (Temperatur):Charlottenburg T"
5445;"05 Berlin - Senat (Temperatur):LWK T"
5451;"05 Berlin - Senat (Temperatur):Mühlendammschleuse  T"
5459;"05 Berlin - Senat (Temperatur):NSK T"
5454;"05 Berlin - Senat (Temperatur):Rahnsdorf T"
5448;"05 Berlin - Senat (Temperatur):Schmöckwitz T"
5463;"05 Berlin - Senat (Temperatur):Sophienwerder T"
5465;"05 Berlin - Senat (Temperatur):Teltow-Werft T"
5470;"05 Berlin - Senat (Temperatur):Teltowkanal T"
5438;"06 Berlin - Senat (Sauerstoff):BSSK O2"
5443;"06 Berlin - Senat (Sauerstoff):Caprivibrücke O2"
5857;"06 Berlin - Senat (Sauerstoff):Charlottenburg O2 "
5446;"06 Berlin - Senat (Sauerstoff):LWK O2"
5452;"06 Berlin - Senat (Sauerstoff):Mühlendammschleuse O2"
5458;"06 Berlin - Senat (Sauerstoff):NSK O2"
5455;"06 Berlin - Senat (Sauerstoff):Rahnsdorf O2"
5449;"06 Berlin - Senat (Sauerstoff):Schmöckwitz O2"
5462;"06 Berlin - Senat (Sauerstoff):Sophienwerder O2"
5467;"06 Berlin - Senat (Sauerstoff):Teltow-Werft O2"
5471;"06 Berlin - Senat (Sauerstoff):Teltowkanal O2"
4524;"Allee der Kosmonauten:Ub"
5498;"Allee der Kosmonauten:W+PN"
4525;"Allee der Kosmonauten:W1"
4953;"Allendebruecke / Spree:B1"
4954;"Allendebruecke / Spree:QS"
4955;"Allendebruecke / Spree:ST"
4956;"Allendebruecke / Spree:T1"
4957;"Allendebruecke / Spree:U"
